Source,Target
199403740Z,Community
T14SS0059J,Christianity
S61SS0001A,Uniformed Groups
S67SS0005D,Uniformed Groups
T01SS0110J,Eldercare
S87CC0529H,Christianity
S72SS0010G,Foreign Educational Institutions/Funds
201904556D,General Charitable Purposes
T02CC1634C,Environment
S86SS0084E,Christianity
S87SS0075A,Buddhism
200721064R,Community
S87CC0483E,Christianity
S92SS0110D,Buddhism
S65SS0025D,NSAs
S60SS0021F,Christianity
S87CC0541F,Christianity
S96SS0064J,Christianity
S64SS0001E,Self-Help Groups
S88SS0038G,Christianity
S84CC0077E,General Charitable Purposes
200511927D,Foreign Educational Institutions/Funds
S76SS0030D,NSAs
201536378N,Children/Youth
S69SS0055F,Christianity
T06CC3002H,Others
S99SS0100A,Christianity
201220322W,Environment
201904577Z,Community
197700430N,Christianity
S71SS0043E,Diseases/Illnessess Support Group
S99SS0136C,Buddhism
T07CC3022A,Children/Youth
199304358N,"Professional, Contemporary & Ethnic Dance"
T04SS0075K,Community
201607267C,Community
T12SS0164D,Christianity
S95CC1076H,Christianity
S75SS0014F,Community
200708621W,Active Ageing
200714231E,Others
T04CC1786K,General Charitable Purposes
S71SS0016L,General Charitable Purposes
200910510N,Environment
S87SS0125L,Christianity
T00CC1481D,
S71SS0039J,Health Professional Group
S92SS0137H,Diseases/Illnessess Support Group
S97SS0106L,Community
T08CC4069L,Christianity
T08CC4066A,Christianity
S87SS0084K,Christianity
S65SS0040A,Christianity
S76SS0008A,Christianity
201507688M,Community
S87SS0014H,Disability (Adult)
S62SS0068H,Christianity
197802909D,Christianity
S87CC0528A,Christianity
S85SS0057F,Taoism
199502248C,Historical & Cultural Conservation
S62SS0031K,Family
T00SS0043E,Children/Youth
T06CC1995L,Think Tanks
T04SS0015B,Hinduism
S68SS0016K,Children/Youth
T13SS0086J,Christianity
S89CC0696A,Christianity
199506669C,Foundations & Trusts
T08CC4062F,Christianity
T08CC4061K,Christianity
S92SS0111L,Christianity
S88SS0027F,Christianity
201231391K,Christianity
T08SS0051C,Community
200613504D,General Charitable Purposes
201715440W,Humanitarian Aid
198105641M,Children/Youth
S97SS0154L,Community
S93SS0069G,Children/Youth
S95SS0106A,Children/Youth
T01SS0045B,Children/Youth
S96SS0195L,Community
200515736C,Community
S87CC0500A,Local Educational Institutions/Funds
S60SS0016C,Christianity
T02SS0119L,Buddhism
200717215M,Historical & Cultural Conservation
S85SS0007C,Buddhism
S87CC0482J,Christianity
T12SS0242D,Christianity
S99SS0097E,Christianity
S97SS0137L,Diseases/Illnessess Support Group
198305430G,Support Groups
S93SS0141J,Diseases/Illnessess Support Group
T07SS0102D,Disability (Adult)
200818724G,General Charitable Purposes
S94SS0012D,Christianity
S70SS0023A,Christianity
S60SS0009H,Christianity
S87SS0025J,Community
198804406R,Christianity
201817683G,Christianity
198105013H,Christianity
197702882K,Christianity
S92SS0099F,Christianity
S96SS0146D,Community
S96SS0198K,Community
195000088K,Christianity
197302391E,Christianity
T12SS0064B,Christianity
T04SS0113A,Children/Youth
S70SS0013G,Christianity
S86SS0049J,Christianity
T01SS0094J,Christianity
S87CC0532H,Christianity
S89CC0663J,Christianity
197801655D,Christianity
S92SS0124D,Disability (Adult)
S85SS0089B,Community
S62SS0019A,Hinduism
S75SS0033J,Hinduism
S87CC0491G,Christianity
S92SS0059H,Buddhism
S88SS0107J,Buddhism
T08CC4057C,Christianity
S87CC0507F,Christianity
T00SS0163F,Diseases/Illnessess Support Group
S84SS0017C,Christianity
S97SS0048K,Day Rehabilitation Centre
S88SS0126A,Diseases/Illnessess Support Group
200514169H,Local Educational Institutions/Funds
197702012E,Health Professional Group
202032457N,Children/Youth
200602275E,Environment
199302114W,Others
200106226Z,Think Tanks
200817758M,General Charitable Purposes
201614829H,General Charitable Purposes
200909154Z,Community
196700214W,Foreign Educational Institutions/Funds
T08CC4080B,Christianity
201021676W,Local Educational Institutions/Funds
S48SS0016D,Community
201300697M,Local Educational Institutions/Funds
S87CC0475C,Community
T06CC1997C,Local Educational Institutions/Funds
T02CC1576B,
S71SS0050L,Children/Youth
196000175E,TCM Clinic
S61SS0088B,NSAs
S86CC0370E,General Charitable Purposes
199301198G,Foreign Educational Institutions/Funds
S97SS0063G,General Charitable Purposes
199408491M,General Charitable Purposes
S77SS0040C,Nursing Home
S61SS0026B,Buddhism
200500775C,Training & Education
200822425N,Disability (Adult)
T08CC4016J,Christianity
T08GB0047C,Local Educational Institutions/Funds
201024335C,Children/Youth
S96SS0160E,Community
S64SS0011K,Community
S87CC0520L,Christianity
T09CC0008D,Children/Youth
200611163W,General Charitable Purposes
T06CC2000C,Eldercare
200817256W,General Charitable Purposes
200900977G,Historical & Cultural Conservation
201401559H,Community
200814118E,Children/Youth
S63SS0006B,Community
S61SS0151F,Local Educational Institutions/Funds
T00SS0089A,Taoism
198002198G,Christianity
S80SS0029B,Nursing Home
T08SS0070F,Nursing Home
S97SS0022B,Children/Youth
199600830Z,Renal Dialysis
S89SS0113B,Nursing Home
T08CC3006B,Local Educational Institutions/Funds
T08CC3005F,Local Educational Institutions/Funds
199303918N,Foreign Educational Institutions/Funds
S93SS0023L,Christianity
S99SS0059K,Christianity
202204255H,General Charitable Purposes
S96SS0134G,Children/Youth
S87CC0504G,Christianity
201206146Z,Christianity
201613689Z,Diseases/Illnessess Support Group
201934434R,Diseases/Illnessess Support Group
S92SS0103J,Diseases/Illnessess Support Group
201934727Z,Foundations & Trusts
T06CC2001K,Community
S93SS0148C,Children/Youth
T03SS0035G,Buddhism
S82SS0008F,Nursing Home
199500566R,Disability (Adult)
199105100D,Self-Help Groups
200210647W,Others
S95SS0086F,Nursing Home
S84SS0050G,Community
201229817Z,Children/Youth
S91SS0018J,
T10CC0006C,
T12SS0060G,Christianity
200712761D,Children/Youth
