Source,Target
198200772W,Christianity
S99SS0038D,Environment
T14SS0132G,Animal Welfare
T14CC0007H,Others
S90SS0091F,Christianity
T01SS0163L,Christianity
S95SS0023K,Christianity
201413066G,Christianity
200510909D,Foreign Educational Institutions/Funds
T03SS0236G,Buddhism
T04CC1816K,Taoism
T03SS0069F,Community
S94CC1026L,Foundations & Trusts
S90SS0027B,Christianity
201924656N,Other Community-based Services
200614290G,General Charitable Purposes
200703355N,Community
T12SS0059K,Christianity
S80SS0033J,Taoism
200615370M,General Charitable Purposes
T03CC1736B,Central
T07CC2029D,Central
S77SS0035L,Buddhism
S96SS0141B,Taoism
S98SS0170J,Buddhism
S91SS0025D,Taoism
S84SS0034C,Buddhism
200311661W,TCM Clinic
S87SS0032D,Taoism
197902947R,Christianity
200408190M,Others
T00SS0196J,Christianity
201113675E,Community
201005410R,Historical & Cultural Conservation
T12SS0056L,Christianity
201822805M,Music & Orchestras
201102790R,Music & Orchestras
S91CC0828B,Children/Youth
197901446R,Others
197901519E,Others
200300692M,Christianity
T08CC4010L,Christianity
T00CC1414A,Foreign Educational Institutions/Funds
201011968M,General Charitable Purposes
198301684W,Community
S64SS0030B,Christianity
T14CC0003B,Foreign Educational Institutions/Funds
202104502M,Children/Youth
200721181D,Music & Orchestras
S86SS0012L,Taoism
S71SS0034G,Others
S75SS0020E,Taoism
T09CC0011D,Christianity
S85CC0267J,South West
200306056R,Children/Youth
S93CC0986H,Local Educational Institutions/Funds
201130737W,Theatre & Dramatic Arts
201437089G,Community
199306174Z,Traditional Ethnic Performing Arts
S90SS0063E,Taoism
200102183D,Music & Orchestras
S98SS0133K,Taoism
T03CC1710E,Foundations & Trusts
S92CC0903H,North East
S89CC0709A,North East
S86SS0047F,Taoism
201430501R,General Charitable Purposes
198404204K,Christianity
S85SS0100L,General Charitable Purposes
S93SS0037L,Christianity
S99SS0096J,Christianity
T05SS0089D,Christianity
200818017E,"Professional, Contemporary & Ethnic Dance"
S92SS0022K,Taoism
S80SS0186B,Taoism
T08CC3019F,Literary Arts
T20CC0009E,Children/Youth
202032617M,Children/Youth
T04CC1798G,Think Tanks
201722525K,General Charitable Purposes
T21CC0004H,Christianity
200105928G,Foundations & Trusts
201906514D,Family
S95CC1074E,Hinduism
200301515E,Children/Youth
201918865M,Children/Youth
198200494C,Taoism
S87SS0008J,Buddhism
S77SS0022G,Taoism
T07SS0263K,Community
T02SS0042H,Training & Education
S91SS0100E,Health Professional Group
201203801G,Children/Youth
T02CC1573C,
201305017E,Others
T15CC0002L,General Charitable Purposes
T06CC1996G,Local Educational Institutions/Funds
S41SS0003J,Traditional Ethnic Performing Arts
S61SS0078H,NSAs
S54SS0010L,Community
S92SS0102B,Music & Orchestras
T01SS0015J,NSAs
S62SS0005A,Others
S93SS0038G,NSAs
S62SS0025L,Buddhism
200719102E,Others
S83SS0011L,NSAs
200812207D,Disability Sports
T03CC1733C,Foundations & Trusts
S61SS0121B,Others
S81SS0006J,Christianity
S72SS0036D,Others
199404067R,Others
T03CC1685G,Think Tanks
S92CC0872A,Community
T02SS0138C,NSAs
S95SS0013E,Hospice
S87SS0042J,Historical & Cultural Conservation
S97CC1236B,Hinduism
S81SS0002C,Christianity
S96SS0027K,NSAs
S61SS0153J,Christianity
S62SS0079J,NSAs
198601162H,Historical & Cultural Conservation
200809850N,Christianity
197903198K,Christianity
S76SS0014L,Christianity
S54SS0017E,Others
201419196W,Historical & Cultural Conservation
S84SS0006B,Christianity
S80SS0007L,Christianity
S73SS0041A,Health Professional Group
S65SS0049J,Buddhism
S81SS0092D,Buddhism
S61SS0099C,Visual Arts
S40SS0008F,Others
S93SS0096A,Taoism
S89CC0623L,Buddhism
S94SS0019J,Taoism
S56SS0024K,Christianity
S90SS0022L,Christianity
S86SS0061G,Christianity
T02SS0108K,Taoism
T00SS0030A,Christianity
T20CC0012E,Environment
S85CC0203F,General Charitable Purposes
S88CC0576F,Christianity
201828984R,Christianity
T01CC1520G,Taoism
T04SS0007L,Taoism
S87CC0513E,Christianity
S99SS0006H,Taoism
T03SS0178F,Christianity
S87CC0486D,Christianity
200312988Z,Christianity
S92SS0021C,Buddhism
S61SS0146C,Christianity
201911451D,Historical & Cultural Conservation
201629632R,Traditional Ethnic Performing Arts
201411287Z,Others
T07SS0051J,Christianity
S61SS0046A,TCM Clinic
201323131D,Disability (Adult)
S85SS0022L,Hinduism
S84CC0093J,Islam
T15SS0002F,Historical & Cultural Conservation
200914844E,Community
S91SS0010H,Eldercare
198104338R,Christianity
T04SS0100H,Christianity
S96CC1157A,Foundations & Trusts
S89SS0035B,Christianity
201822261W,Mental Health
T07SS0238H,Christianity
S90SS0010C,Christianity
201820195M,Music & Orchestras
201626279R,Local Educational Institutions/Funds
T11SS0113L,Diseases/Illnessess Support Group
S62SS0028K,Hinduism
S86CC0339D,Central
S80SS0021A,Others
S95SS0100C,Christianity
200710144K,Community
201332607E,Others
202041304E,Children/Youth
T08CC4015B,Christianity
201101057D,Others
S93SS0009K,Christianity
S98SS0072K,Christianity
T00SS0194F,Community
T01CC1525J,Buddhism
S84SS0001L,Buddhism
S91CC0841G,Buddhism
S56SS0007K,Buddhism
T01SS0042C,Taoism
T16SS0125L,Environment
201333807K,Others
198502289W,Christianity
S62SS0029F,Buddhism
T01SS0179C,General Charitable Purposes
S92SS0081L,Christianity
S95SS0006K,Christianity
S91CC0799J,North East
S98CC1310A,North East
S87CC0498A,Christianity
201002361G,Music & Orchestras
S90CC0750J,Christianity
S99SS0018E,Christianity
T08SS0160C,General Charitable Purposes
T04SS0143E,Community
S92SS0114K,Christianity
200107383N,"Professional, Contemporary & Ethnic Dance"
T02SS0130B,Buddhism
S82SS0010K,Christianity
S97SS0168L,Buddhism
T01CC1516L,Cluster/Hospital Funds
T06CC1963D,Cluster/Hospital Funds
S88SS0054L,Christianity
201114924K,Music & Orchestras
201411304Z,Children/Youth
198403049K,Christianity
S90SS0044B,Christianity
200509987M,Christianity
T05SS0136D,Community
200504480C,Christianity
198003640E,Christianity
T03SS0118J,Community
T20CC0011J,North West
T07CC2014H,North West
S68SS0042H,Literary Arts
S62SS0023H,Others
T07CC2021C,South West
T07SS0086D,TCM Clinic
T07SS0110F,Christianity
200614780G,Theatre & Dramatic Arts
201936179K,Community
S97SS0094G,Christianity
T05SS0204K,Christianity
S95SS0058E,Christianity
S94SS0032C,Christianity
S69SS0025B,NSAs
S96CC1169J,Active Ageing
T00CC1436C,Active Ageing
202003546G,Diseases/Illnessess Support Group
S91SS0034B,Buddhism
T12CC0003C,Community
201227952W,Children/Youth
S96CC1150G,Foundations & Trusts
201402049Z,Children/Youth
S84CC0054G,Children/Youth
T05CC1908D,Central
S90CC0770H,General Charitable Purposes
T07CC2016L,North West
S93SS0158H,Local Educational Institutions/Funds
201215612M,Environment
T08CC2092F,Children/Youth
202037005M,Community
T05CC1892E,General Charitable Purposes
S96SS0061K,Christianity
198105937H,Christianity
200823204E,Animal Welfare
S85SS0098L,Taoism
S87SS0009E,Buddhism
202041274Z,Visual Arts
S90SS0072C,Christianity
S95CC1109G,South East
T09CC0003B,Foreign Educational Institutions/Funds
S66SS0017G,Christianity
S94CC1043L,Children/Youth
S87SS0061A,Buddhism
201833054D,General Charitable Purposes
S86SS0001K,Taoism
S97SS0007E,Christianity
T03CC1695A,Christianity
S89CC0657K,Foundations & Trusts
S85SS0010C,Taoism
T16CC0002E,North West
S89SS0082F,Christianity
T00SS0004C,Buddhism
200906548Z,General Charitable Purposes
S75SS0041L,Buddhism
S84SS0002G,Buddhism
201828873W,General Charitable Purposes
S84SS0011E,Taoism
T07CC2009E,Central
201129376H,Foundations & Trusts
S87SS0067K,Taoism
S92SS0004C,Christianity
S99SS0092C,Buddhism
S24SS0001D,Others
S98CC1346C,South East
S86CC0397J,North West
S94SS0028G,Taoism
S87SS0078L,Taoism
T04SS0013K,Children/Youth
S88CC0581J,Christianity
T11CC0005A,South West
S97CC1260H,South West
T00SS0215H,Christianity
T01SS0100D,Other Community-based Services
T03SS0115K,Taoism
197100576D,Christianity
S87SS0079G,Christianity
201713923E,Community
199002444H,General Charitable Purposes
T07SS0157J,Animal Welfare
S87CC0436A,Central
S96CC1145D,Central
